Time_s,Pos_err_norm_m,Ori_err_norm_rad,Jerk_norm_m_s3
3.146927356719970703e-01,6.090881480195190489e-01,6.501720641859656258e-01,0.000000000000000000e+00
3.214643001556396484e-01,6.088746441452180802e-01,6.434467601125599678e-01,0.000000000000000000e+00
3.348271846771240234e-01,6.079196214944765364e-01,6.204388506700538874e-01,2.066687987235704895e+03
3.403699398040771484e-01,6.067046651604672824e-01,5.975761055236544772e-01,3.003194712625288957e+03
3.469321727752685547e-01,6.049411083280621382e-01,5.672768559637669794e-01,1.335204884106201462e+03
3.652338981628417969e-01,6.022229000168640711e-01,5.182587016656764467e-01,2.119783437275496453e+03
3.679342269897460938e-01,5.995708297263665498e-01,4.854226195561956447e-01,7.858440528086888662e+03
3.718683719635009766e-01,5.963706999124066543e-01,4.516332645350316644e-01,9.605528630652803258e+03
3.758907318115234375e-01,5.926754997051645324e-01,4.215741531097023653e-01,1.652245394293186109e+03
3.810522556304931641e-01,5.884544772340650765e-01,3.980851208869740088e-01,3.448384846848896814e+03
3.835611343383789062e-01,5.838916542736695137e-01,3.899361747438788162e-01,1.353613589193241387e+04
3.861691951751708984e-01,5.789032641636975285e-01,3.973706327563969465e-01,5.805921293139470436e+03
3.889856338500976562e-01,5.735264564342512639e-01,4.220189826987534865e-01,6.087450577603513921e+03
3.911774158477783203e-01,5.678565644423856362e-01,4.638289535259756957e-01,1.287796573234864809e+04
3.936955928802490234e-01,5.619232357727559357e-01,5.200377299223986061e-01,2.049035495399419960e+04
3.957865238189697266e-01,5.559257019055358073e-01,5.869159837308193239e-01,1.992109283348590907e+04
3.978753089904785156e-01,5.500142067385254130e-01,6.600039928756291641e-01,2.446902260930043849e+04
4.002332687377929688e-01,5.443107272353183701e-01,7.356412830986036600e-01,1.923296012363535920e+04
4.025135040283203125e-01,5.389233177512712247e-01,8.108618111286793884e-01,1.848774124958749962e+04
4.051139354705810547e-01,5.338692929191974912e-01,8.831965922850106843e-01,1.132808312896513962e+04
4.078330993652343750e-01,5.291430514842505595e-01,9.508957977897085634e-01,6.833035739923456276e+03
4.104461669921875000e-01,5.246902302752856073e-01,1.013669320631021220e+00,6.296036388362211255e+03
4.160256385803222656e-01,5.203397336911615989e-01,1.070992019623616676e+00,1.489535244500066983e+04
4.219403266906738281e-01,5.162302412344310643e-01,1.122093203226686153e+00,1.175737541691876913e+03
4.252564907073974609e-01,5.125140864408174179e-01,1.166198262043609324e+00,7.905135059225436635e+03
4.302420616149902344e-01,5.089296956219716561e-01,1.203403564458128905e+00,7.498244063012228253e+03
4.328510761260986328e-01,5.056611382248310527e-01,1.233456183463704114e+00,1.150644521156629162e+04
4.351239204406738281e-01,5.025349920996814435e-01,1.256973354404631094e+00,5.651104777110521354e+03
4.376971721649169922e-01,4.994726114163739461e-01,1.274421922747013491e+00,7.265151404027931676e+03
4.416284561157226562e-01,4.963864924305455006e-01,1.286279644692815305e+00,1.007170379109910937e+04
4.443733692169189453e-01,4.934082773096797880e-01,1.292589921143389553e+00,7.131603189644434678e+03
4.465854167938232422e-01,4.905006821664431027e-01,1.293655215120419255e+00,7.769852561719220830e+03
4.486644268035888672e-01,4.876541824203988185e-01,1.289689858516440468e+00,3.651571371631594957e+03
4.518694877624511719e-01,4.848256610401599498e-01,1.280974479627595475e+00,1.381471253757509658e+04
4.553539752960205078e-01,4.821030601396410487e-01,1.267463319996660953e+00,1.758945022976790369e+03
4.591856002807617188e-01,4.795355956403732356e-01,1.249181001624488196e+00,3.522510823788242760e+03
4.618902206420898438e-01,4.772675915919857847e-01,1.226217090635432383e+00,6.011139250447696213e+03
4.639523029327392578e-01,4.753250757963800588e-01,1.199544259783271283e+00,5.487479226078752617e+03
4.660141468048095703e-01,4.736552705396849805e-01,1.170704069910849299e+00,1.383144494627632594e+04
4.680736064910888672e-01,4.722185445859614084e-01,1.141002861438013660e+00,1.365616712273688063e+04
4.704155921936035156e-01,4.709433618438214619e-01,1.111683627057711954e+00,1.087068298777515884e+04
4.733800888061523438e-01,4.697452139484170619e-01,1.083840510631735921e+00,5.176934945911008072e+03
4.765152931213378906e-01,4.685752902768478556e-01,1.058078750930932177e+00,3.764491411329353014e+03
4.785776138305664062e-01,4.674262358290183217e-01,1.034427474478913256e+00,1.526454142090391178e+04
4.806408882141113281e-01,4.661878958687197261e-01,1.013600741983410991e+00,5.330893515707952247e+03
4.827008247375488281e-01,4.648178531568739613e-01,9.957613251252188658e-01,3.515351057692118047e+03
4.847302436828613281e-01,4.632917913583448621e-01,9.809250575999858279e-01,2.885753389519401480e+03
4.912743568420410156e-01,4.613840862017336564e-01,9.707268483433623141e-01,1.743780784182320713e+04
4.935324192047119141e-01,4.595225387259107008e-01,9.615607398506196279e-01,1.439644636550608811e+04
4.968640804290771484e-01,4.574712403944740102e-01,9.552309317248766085e-01,1.197394423411358184e+04
5.003230571746826172e-01,4.553022910339488694e-01,9.511149897514036278e-01,2.061606173595644123e+03
5.030961036682128906e-01,4.530895975517374996e-01,9.486643571040027645e-01,3.981847246131658267e+03
5.099306106567382812e-01,4.506155514823863006e-01,9.489115405051121721e-01,9.407426025567468969e+03
5.124771595001220703e-01,4.483224245651180606e-01,9.495261849497913520e-01,7.638289776106370482e+03
5.150709152221679688e-01,4.459908561903979662e-01,9.517649361924219731e-01,4.778423209101878456e+03
5.201179981231689453e-01,4.434864792256689725e-01,9.558615753090249356e-01,7.668011519645092449e+03
5.256881713867187500e-01,4.409095183279607699e-01,9.611825739018217130e-01,1.150050510342180132e+03
5.307466983795166016e-01,4.383169429741275436e-01,9.674023331145725768e-01,9.370451670448520645e+02
5.350148677825927734e-01,4.357223204061927979e-01,9.743578320932924086e-01,1.552261507876710539e+03
5.403707027435302734e-01,4.329950031279473088e-01,9.819862788956661426e-01,1.322812974832892451e+03
5.470664501190185547e-01,4.300952751092330106e-01,9.900362358312425615e-01,7.407725551245807765e+02
5.511684417724609375e-01,4.272730007106072536e-01,9.983035084043250240e-01,3.181953881092533720e+03
5.534522533416748047e-01,4.244646076761937614e-01,1.006866931030550916e+00,1.179240588665040741e+04
5.560767650604248047e-01,4.214979272302409874e-01,1.015655774148571222e+00,2.860959489293646129e+03
5.626707077026367188e-01,4.180820737920009078e-01,1.024225960650056999e+00,8.797588411452194123e+03
5.650694370269775391e-01,4.147978631654437032e-01,1.033246341047569183e+00,1.356724789508426329e+04
5.671391487121582031e-01,4.113465322322654161e-01,1.042530172439453784e+00,9.711675078807267710e+03
5.693526268005371094e-01,4.076799695949801516e-01,1.052082424777188940e+00,2.493268889286991453e+03
5.714142322540283203e-01,4.038129197938960524e-01,1.062037630575878078e+00,5.834985114619280466e+03
5.744705200195312500e-01,3.996560221775503075e-01,1.072276649170218477e+00,1.506403265394992377e+04
5.976955890655517578e-01,3.936754129903702326e-01,1.080380024274480766e+00,5.537444542714462841e+03
6.051445007324218750e-01,3.887407613062318634e-01,1.091620983221704977e+00,1.490935490884946830e+03
6.091048717498779297e-01,3.839274372754158393e-01,1.103812229993576866e+00,4.981116796674352372e+03
6.129937171936035156e-01,3.789738403343083650e-01,1.116936860029831724e+00,4.349490182616682432e+02
6.165115833282470703e-01,3.739341381817022913e-01,1.131129347887955605e+00,1.145295323829735480e+03
